strategy,ticker,entry_type,horizon,n,wr,pf,avg_return,max_dd,fill_rate
Volume Surge,HS,market,6,82,40.24,0.9657,-0.0034,2.285,100.0
Volume Surge,HS,limit,6,55,47.27,0.7153,-0.0484,4.0416,67.1
Volume Surge,HS,market,12,82,51.22,0.8171,-0.0311,6.3835,100.0
Volume Surge,HS,limit,12,55,52.73,0.6914,-0.0638,6.6977,67.1
Volume Surge,HS,market,24,82,47.56,1.1523,0.0379,4.3114,100.0
Volume Surge,HS,limit,24,55,54.55,1.5163,0.11,4.3612,67.1
Volume Surge,KC,market,6,34,55.88,1.321,0.0417,2.552,100.0
Volume Surge,KC,limit,6,22,72.73,2.9996,0.1733,0.7617,64.7
Volume Surge,KC,market,12,34,52.94,1.0042,0.001,5.7026,100.0
Volume Surge,KC,limit,12,22,54.55,1.2052,0.0433,3.5238,64.7
Volume Surge,KC,market,24,34,50.0,0.6688,-0.1106,4.6842,100.0
Volume Surge,KC,limit,24,22,63.64,1.5024,0.0977,1.6576,64.7
Volume Surge,DX,market,6,31,54.84,1.3568,0.0332,1.4698,100.0
Volume Surge,DX,limit,6,19,47.37,0.5572,-0.0606,1.5846,61.3
Volume Surge,DX,market,12,31,61.29,1.877,0.1042,1.9218,100.0
Volume Surge,DX,limit,12,19,68.42,1.2148,0.0367,1.7791,61.3
Volume Surge,DX,market,24,31,58.06,1.0831,0.0183,5.1446,100.0
Volume Surge,DX,limit,24,19,57.89,1.4531,0.0599,1.8635,61.3
Volume Surge,HY,market,6,162,47.53,0.5409,-0.1963,31.6407,100.0
Volume Surge,HY,limit,6,104,46.15,0.6541,-0.1296,16.6005,64.2
Volume Surge,HY,market,12,162,49.38,0.7379,-0.145,27.4244,100.0
Volume Surge,HY,limit,12,104,40.38,0.6479,-0.1962,30.8691,64.2
Volume Surge,HY,market,24,162,42.59,0.6582,-0.2453,50.5414,100.0
Volume Surge,HY,limit,24,104,46.15,0.7702,-0.1277,24.8864,64.2
Volume Surge,BM,market,6,99,52.53,0.6178,-0.11,14.7224,100.0
Volume Surge,BM,limit,6,67,58.21,0.9737,-0.006,6.0701,67.7
Volume Surge,BM,market,12,99,47.47,0.7744,-0.0853,17.012,100.0
Volume Surge,BM,limit,12,67,50.75,1.4614,0.1317,9.7678,67.7
Volume Surge,BM,market,24,99,48.48,0.8481,-0.0816,21.7195,100.0
Volume Surge,BM,limit,24,67,50.75,0.9442,-0.033,21.7518,67.7
Mean Reversion,NM,market,6,230,50.87,1.2357,0.0423,8.7026,100.0
Mean Reversion,NM,limit,6,132,57.58,1.2402,0.0496,5.002,57.4
Mean Reversion,NM,market,12,230,55.22,1.0455,0.0122,22.6231,100.0
Mean Reversion,NM,limit,12,132,56.06,1.5593,0.1399,5.8308,57.4
Mean Reversion,AF,market,6,289,49.13,0.952,-0.0107,13.8228,100.0
Mean Reversion,AF,limit,6,149,55.03,0.7033,-0.0832,18.6265,51.6
Mean Reversion,AF,market,12,289,54.33,1.1247,0.0361,14.0462,100.0
Mean Reversion,AF,limit,12,149,52.35,0.9978,-0.0006,10.4914,51.6
VWAP Deviation,GZ,market,6,15226,55.42,1.1274,0.0202,56.1025,100.0
VWAP Deviation,GZ,limit,6,11266,55.65,1.4697,0.0675,81.5095,74.0
VWAP Deviation,GZ,market,12,15226,54.92,1.0524,0.0115,111.6488,100.0
VWAP Deviation,GZ,limit,12,11266,55.73,1.3123,0.0617,128.1073,74.0
VWAP Deviation,GZ,market,24,15225,53.38,1.0291,0.0084,172.979,100.0
VWAP Deviation,GZ,limit,24,11265,53.54,1.1786,0.0479,196.6146,74.0
VWAP Deviation,Eu,market,6,23820,52.05,1.0223,0.0017,80.4092,100.0
VWAP Deviation,Eu,limit,6,18438,50.35,1.012,0.001,203.1676,77.4
VWAP Deviation,Eu,market,12,23820,52.15,0.9846,-0.0016,136.5118,100.0
VWAP Deviation,Eu,limit,12,18438,50.96,0.9917,-0.0009,225.9927,77.4
VWAP Deviation,Eu,market,24,23820,51.31,0.9939,-0.0009,192.7725,100.0
VWAP Deviation,Eu,limit,24,18438,50.34,1.0036,0.0006,221.4899,77.4
VWAP Deviation,SR,market,6,19243,53.26,1.0569,0.0071,70.7036,100.0
VWAP Deviation,SR,limit,6,14914,54.41,1.629,0.0595,62.3414,77.5
VWAP Deviation,SR,market,12,19243,53.41,1.0438,0.0071,176.8107,100.0
VWAP Deviation,SR,limit,12,14914,54.46,1.5247,0.0675,152.4454,77.5
VWAP Deviation,SR,market,24,19238,52.89,1.0343,0.0073,250.5037,100.0
VWAP Deviation,SR,limit,24,14910,53.85,1.3566,0.0635,200.5381,77.5
VWAP Deviation,Si,market,6,18219,52.72,1.0026,0.0002,82.1859,100.0
VWAP Deviation,Si,limit,6,14373,53.33,1.0349,0.0027,71.1618,78.9
VWAP Deviation,Si,market,12,18218,52.49,0.993,-0.0007,114.2958,100.0
VWAP Deviation,Si,limit,12,14372,53.04,1.0368,0.0038,90.2059,78.9
VWAP Deviation,Si,market,24,18214,51.59,0.9605,-0.0056,199.2625,100.0
VWAP Deviation,Si,limit,24,14369,51.91,0.9877,-0.0018,172.7,78.9
VWAP Deviation,MC,market,6,16473,53.72,1.1092,0.0126,39.5866,100.0
VWAP Deviation,MC,limit,6,12595,55.36,1.6679,0.063,49.6267,76.5
VWAP Deviation,MC,market,12,16473,52.43,1.0774,0.012,122.0466,100.0
VWAP Deviation,MC,limit,12,12595,53.27,1.3895,0.0515,123.0531,76.5
VWAP Deviation,MC,market,24,16473,51.33,1.0358,0.0074,212.5346,100.0
VWAP Deviation,MC,limit,24,12595,51.85,1.2259,0.0423,203.1784,76.5
OI Divergence,RI,market,3,749,49.93,1.0526,0.0035,6.609,100.0
OI Divergence,RI,limit,3,570,54.56,1.3371,0.0231,6.8901,76.1
OI Divergence,RI,market,6,749,53.94,1.2205,0.0193,15.3738,100.0
OI Divergence,RI,limit,6,570,55.79,1.4314,0.0392,13.7641,76.1
OI Divergence,RI,market,12,749,52.87,1.327,0.0444,27.8312,100.0
OI Divergence,RI,limit,12,570,55.96,1.5434,0.0792,27.3628,76.1
OI Divergence,GL,market,3,283,56.54,1.4977,0.0396,5.0182,100.0
OI Divergence,GL,limit,3,198,54.04,1.2932,0.0274,5.4884,70.0
OI Divergence,GL,market,6,283,61.84,1.5185,0.0569,9.2134,100.0
OI Divergence,GL,limit,6,198,61.11,1.5768,0.0647,8.1401,70.0
OI Divergence,GL,market,12,283,57.6,1.258,0.0415,18.6666,100.0
OI Divergence,GL,limit,12,198,59.6,0.9427,-0.0117,20.2719,70.0
OI Divergence,Si,market,3,96,57.29,1.1812,0.0127,2.6274,100.0
OI Divergence,Si,limit,3,62,54.84,0.622,-0.051,3.9538,64.6
OI Divergence,Si,market,6,96,61.46,1.3223,0.0361,4.6604,100.0
OI Divergence,Si,limit,6,62,53.23,0.9261,-0.0109,5.3325,64.6
OI Divergence,Si,market,12,96,61.46,1.6113,0.0917,8.2596,100.0
OI Divergence,Si,limit,12,62,62.9,1.3283,0.0538,6.7887,64.6
