rank,final_capital,max_dd_pct,base_margin_usage,max_concurrent,base_total_margin_limit,max_dd_limit,hedge_premium_pct,hedge_strike_pct,n_trades
1,272157.44,5.42,0.15,2,0.15,0.05,0.002,0.005,67
2,272157.44,5.42,0.15,2,0.2,0.05,0.002,0.005,67
3,272157.44,5.42,0.15,3,0.15,0.05,0.002,0.005,67
4,272157.44,5.42,0.15,3,0.2,0.05,0.002,0.005,67
5,272157.44,5.42,0.15,5,0.15,0.05,0.002,0.005,67
6,272157.44,5.42,0.15,5,0.2,0.05,0.002,0.005,67
7,247517.95,5.77,0.15,2,0.15,0.05,0.003,0.005,67
8,247517.95,5.77,0.15,2,0.2,0.05,0.003,0.005,67
9,247517.95,5.77,0.15,3,0.15,0.05,0.003,0.005,67
10,247517.95,5.77,0.15,3,0.2,0.05,0.003,0.005,67
