strategy,ticker,tf,horizon,n,wr,pf,avg_return,max_dd
OrderBlock,UC,H1,2,1071,75.82,5.0567,0.1182,1.9136
OrderBlock,UC,H2,2,540,80.93,9.1256,0.1711,0.8909
OrderBlock,UC,H4,2,329,78.42,6.1851,0.2079,1.4869
OrderBlock,ED,H1,2,976,74.28,4.2356,0.1187,2.5684
OrderBlock,ED,H2,2,548,75.0,5.1283,0.1774,1.5467
OrderBlock,ED,H4,2,290,78.28,4.0153,0.2097,2.0001
OrderBlock,Si,H1,2,967,74.46,4.0146,0.2813,2.928
OrderBlock,Si,H2,2,601,78.7,5.2552,0.4185,4.3513
OrderBlock,Si,H4,2,328,78.05,5.147,0.5525,3.2482
OrderBlock,RM,H1,2,1018,72.89,4.0569,0.434,4.0077
OrderBlock,RM,H2,2,603,70.81,3.6796,0.5703,5.4
OrderBlock,RM,H4,2,355,70.7,4.6777,0.8571,6.5433
OrderBlock,KC,H1,2,231,71.43,3.9895,0.5356,4.7849
OrderBlock,KC,H2,2,114,69.3,2.0069,0.4415,27.4712
OrderBlock,KC,H4,2,62,80.65,4.1401,1.1197,11.961
OrderBlock,NA,H1,2,1065,70.61,3.3439,0.2556,4.7964
OrderBlock,NA,H2,2,638,70.38,3.2126,0.3305,5.9175
OrderBlock,NA,H4,2,367,71.66,3.0243,0.4512,7.4755
OrderBlock,GD,H1,2,1079,69.42,3.0309,0.2031,4.8306
OrderBlock,GD,H2,2,628,77.23,4.9038,0.405,4.3552
OrderBlock,GD,H4,2,349,67.91,2.3927,0.3124,7.3118
OrderBlock,RI,H1,2,1018,72.79,3.4455,0.3922,6.2345
OrderBlock,RI,H2,2,615,70.57,3.6591,0.5445,6.8727
OrderBlock,RI,H4,2,347,65.71,3.1724,0.6593,7.8646
OrderBlock,LK,H1,2,940,72.34,3.3522,0.3655,7.1006
OrderBlock,LK,H2,2,541,74.31,3.379,0.5186,10.2934
OrderBlock,LK,H4,2,307,68.4,3.1804,0.651,7.9383
OrderBlock,SBERF,H1,2,863,72.89,2.9431,0.2493,7.7477
OrderBlock,SBERF,H2,2,524,74.05,3.9425,0.3769,5.3707
OrderBlock,SBERF,H4,2,323,73.07,3.6415,0.5195,7.4847
OrderBlock,GK,H1,2,986,73.02,4.4462,0.6446,6.1786
OrderBlock,GK,H2,2,561,72.19,4.3899,0.8266,9.2373
OrderBlock,GK,H4,2,306,76.47,6.4805,1.3836,5.268
OrderBlock,MC,H1,2,1004,69.92,3.2907,0.321,6.8887
OrderBlock,MC,H2,2,594,69.02,3.3568,0.4165,7.2035
OrderBlock,MC,H4,2,342,68.13,3.0149,0.5395,4.0766
OrderBlock,RN,H1,2,954,69.81,3.1423,0.405,7.6547
OrderBlock,RN,H2,2,534,71.54,3.4387,0.597,11.5976
OrderBlock,RN,H4,2,312,71.15,3.5751,0.7267,10.6273
OrderBlock,IMOEXF,H1,2,1015,70.15,3.3079,0.2907,8.8455
OrderBlock,IMOEXF,H2,2,638,71.47,3.2921,0.3787,6.2076
OrderBlock,IMOEXF,H4,2,348,69.25,3.1283,0.5318,8.6129
OrderBlock,YD,H1,2,864,70.83,3.5883,0.4894,9.7495
OrderBlock,YD,H2,2,503,72.17,4.8088,0.7723,9.1063
OrderBlock,YD,H4,2,310,72.9,4.4718,0.924,9.8853
