symbol,bars,trough_long_trades,troughs,peaks
SN,30636,36,52,69
AL,36526,20,29,35
MG,30586,9,29,16
MY,1347,9,11,20
NR,8835,7,11,12
AU,567,6,23,25
BM,21539,6,12,8
LK,43005,5,7,9
NG,43587,5,7,8
CE,22877,4,9,7
RM,43978,4,6,6
SP,32321,4,4,11
FF,572,3,6,4
HY,22031,3,8,7
OJ,11352,3,9,3
CH,1040,2,2,8
CR,17989,2,8,3
ME,33657,2,2,3
MN,6942,2,5,5
RI,46589,2,2,5
UC,37837,2,3,3
YD,44280,2,2,6
BR,46805,1,7,3
CC,39610,1,3,2
DX,7778,1,4,1
GAZPF,44591,1,1,3
GD,46781,1,2,1
GK,45055,1,2,5
GL,46104,1,2,2
HS,13836,1,6,1
IB,28500,1,1,1
MC,21373,1,1,2
NA,34989,1,1,3
NM,35946,1,3,4
PT,44555,1,3,1
SF,20150,1,1,4
SV,46802,1,5,2
TT,38082,1,2,2
VB,46486,1,1,1
VI,898,1,1,9
AF,39794,0,1,3
CNYRUBF,45910,0,1,0
ED,45344,0,0,0
EURRUBF,38932,0,0,0
Eu,44459,0,0,0
GLDRUBF,46661,0,0,0
GZ,46718,0,1,0
IMOEXF,46711,0,0,0
KC,6330,0,1,1
MM,36443,0,0,1
MX,46726,0,0,0
PD,45089,0,1,0
RB,13560,0,1,4
RL,7701,0,3,1
RN,40842,0,1,1
SBERF,42022,0,3,0
SE,11686,0,2,0
SR,46625,0,1,0
SS,19203,0,0,0
Si,22184,0,0,0
TN,18706,0,1,3
USDRUBF,45870,0,0,0
W4,3651,0,1,0
X5,1192,0,0,0
