dir,ticker,sig,params,trades,wr,total_ret_pct,max_dd_pct,calmar,annual_pct,avg_win,avg_loss
1-MM_NO_LEVERAGE,BR,OI Div V1,W=40 T=2.0 hold=10,365,50.68,27.86,5.39,5.1704,1733.54,503.18,-362.39
1-MM_NO_LEVERAGE,IMOEXF,OI Div V1,W=20 T=2.0 hold=10,5150,49.36,17.88,9.45,1.8922,16.15,134.18,-123.93
1-MM_NO_LEVERAGE,AF,OI Div V2,W=40 T=1.5 hold=5,4134,48.43,34.28,12.05,2.8445,105.27,284.98,-251.52
1-MM_NO_LEVERAGE,SR,OI Div V1,W=40 T=1.5 hold=10,2659,51.11,11.23,8.94,1.256,22.09,140.42,-138.15
1-MM_NO_LEVERAGE,Eu,OI Div V1,W=20 T=1.5 hold=10,9797,48.87,4.56,17.55,0.2598,2.34,87.09,-82.34
1-MM_NO_LEVERAGE,CR,OI Div V1,W=40 T=1.5 hold=10,1582,47.66,5.8,8.1,0.7163,19.56,119.75,-102.04
1-MM_WITH_GO,BR,OI Div V2,W=20 T=2.0 hold=10,21,52.38,-75.5,92.79,-0.8136,-100.0,18943.38,-28387.38
1-MM_WITH_GO,IMOEXF,OI Div V1,W=20 T=1.5 hold=5,1006,47.32,-95.16,99.5,-0.9564,-93.65,14433.4,-13142.38
1-MM_WITH_GO,AF,OI Div V1,W=20 T=2.0 hold=10,15,53.33,-103.52,103.82,-0.9971,-103.52,69594.78,-94326.08
1-MM_WITH_GO,SR,OI Div V1,W=20 T=2.0 hold=10,24,54.17,-94.45,103.11,-0.916,-99.56,104167.23,-131692.91
1-MM_WITH_GO,CR,OI Div V2,W=40 T=1.5 hold=10,1690,0.0,-3.39,3.4,-0.9994,-10.36,0.0,-2.01
2-NOMM,GD_EXCLUDE,SMA crossover,"SMA(10,40) hold=15",1735,49.39,-4.28,12.35,-0.3465,-2.17,106.94,-109.26
2-NOMM,PT_EXCLUDE,SMA crossover,"SMA(10,40) hold=15",1542,43.26,-89.22,90.09,-0.9904,-72.6,60.92,-148.41
2-NOMM,BR_PRE,SMA crossover,"SMA(10,40) hold=15",1648,49.45,-32.99,38.68,-0.8529,-18.9,183.89,-219.53
2-NOMM,AF_PRE,SMA crossover,"SMA(10,40) hold=15",1079,40.32,-87.04,87.83,-0.991,-83.23,181.96,-258.06
2-NOMM,SR_PRE,SMA crossover,"SMA(5,20) hold=5",679,48.6,6.48,5.84,1.111,18.15,129.39,-103.76
