ticker,tf,variant,trades,wr,return_pct,dd_pct,calmar,final_capital
AL,5m,V1,6744,47.3,1377.1,47.2,29.189,2954278.0
AL,5m,V2,8126,48.5,1894.1,17.1,111.087,3988225.0
LK,5m,V1,7524,48.9,514.5,29.8,17.292,1229071.0
LK,5m,V2,8958,49.9,418.2,73.3,5.704,1036408.0
MX,5m,V1,6023,48.6,6.4,7.0,0.91,212771.0
MX,5m,V2,6943,47.6,4.9,6.9,0.713,209891.0
NM,5m,V1,6057,48.6,365.5,13.1,27.937,931055.0
NM,5m,V2,7142,47.1,286.0,24.1,11.855,771930.0
PD,5m,V1,6932,49.2,233.2,14.9,15.634,666330.0
PD,5m,V2,8500,46.6,157.2,22.9,6.878,514464.0
RI,5m,V2,9471,48.8,25.8,20.5,1.256,251569.0
SV,5m,V2,7048,46.0,87.9,69.2,1.27,375872.0
VB,5m,V1,4740,48.5,2568.4,22.8,112.481,5336745.0
VB,5m,V2,5578,46.6,2314.7,71.7,32.298,4829382.0
BR,5m,V1,410,47.8,156.5,18.1,8.633,513055.0
AF,5m,V1,1861,46.1,484.1,32.1,15.073,1168240.0
AF,5m,V2,2180,49.6,766.4,10.6,71.987,1732798.0
SR,5m,V1,2407,51.2,2384.3,44.1,54.07,4968566.0
SR,5m,V2,2819,48.0,2453.1,85.3,28.765,5106135.0
IMOEXF,5m,V1,4827,48.1,24.8,18.4,1.348,249641.0
